respID,qID,altID,obsID,profileID,price,seat_quality,number_of_games,pass__quality
1,1,1,1,3,1.5,Upper Deck,0,Bronze
1,1,2,1,328,3,Touchline Section,3,Gold
1,1,3,1,228,2,Upper Deck,0,Gold
1,2,1,2,23,1,Goal Section,0,Bronze
1,2,2,2,179,2,Corner Section,2,Silver
1,2,3,2,185,1.5,Touchline Section,2,Silver
1,3,1,3,31,1.5,Upper Deck,1,Bronze
1,3,2,3,256,2,Upper Deck,1,Gold
1,3,3,3,303,1,Goal Section,2,Gold
1,4,1,4,286,3,Upper Deck,2,Gold
1,4,2,4,131,2.5,Touchline Section,0,Silver
1,4,3,4,299,2.5,Touchline Section,2,Gold
1,5,1,5,3,1.5,Upper Deck,0,Bronze
1,5,2,5,120,0.5,Corner Section,0,Silver
1,5,3,5,329,3.5,Touchline Section,3,Gold
1,6,1,6,178,1.5,Corner Section,2,Silver
1,6,2,6,143,1.5,Upper Deck,1,Silver
1,6,3,6,107,1,Goal Section,3,Bronze
2,1,1,7,164,1.5,Goal Section,1,Silver
2,1,2,7,19,2.5,Touchline Section,0,Bronze
2,1,3,7,138,2.5,Goal Section,0,Silver
2,2,1,8,234,1.5,Corner Section,0,Gold
2,2,2,8,203,3.5,Upper Deck,3,Silver
2,2,3,8,318,1.5,Corner Section,3,Gold
2,3,1,9,114,1,Upper Deck,0,Silver
2,3,2,9,106,0.5,Goal Section,3,Bronze
2,3,3,9,221,2,Goal Section,3,Silver
2,4,1,10,280,3.5,Goal Section,1,Gold
2,4,2,10,76,3,Touchline Section,2,Bronze
2,4,3,10,103,2.5,Touchline Section,3,Bronze
2,5,1,11,66,1.5,Corner Section,2,Bronze
2,5,2,11,320,2.5,Corner Section,3,Gold
2,5,3,11,101,1.5,Touchline Section,3,Bronze
2,6,1,12,270,2,Touchline Section,1,Gold
2,6,2,12,102,2,Touchline Section,3,Bronze
2,6,3,12,100,1,Touchline Section,3,Bronze
3,1,1,13,87,1.5,Upper Deck,3,Bronze
3,1,2,13,147,3.5,Upper Deck,1,Silver
3,1,3,13,119,3.5,Upper Deck,0,Silver
3,2,1,14,119,3.5,Upper Deck,0,Silver
3,2,2,14,262,1.5,Corner Section,1,Gold
3,2,3,14,333,2,Goal Section,3,Gold
3,3,1,15,106,0.5,Goal Section,3,Bronze
3,3,2,15,236,2.5,Corner Section,0,Gold
3,3,3,15,230,3,Upper Deck,0,Gold
3,4,1,16,97,3,Corner Section,3,Bronze
3,4,2,16,66,1.5,Corner Section,2,Bronze
3,4,3,16,257,2.5,Upper Deck,1,Gold
3,5,1,17,223,3,Goal Section,3,Silver
3,5,2,17,94,1.5,Corner Section,3,Bronze
3,5,3,17,260,0.5,Corner Section,1,Gold
3,6,1,18,13,3,Corner Section,0,Bronze
3,6,2,18,57,0.5,Upper Deck,2,Bronze
3,6,3,18,299,2.5,Touchline Section,2,Gold
4,1,1,19,256,2,Upper Deck,1,Gold
4,1,2,19,191,1,Goal Section,2,Silver
4,1,3,19,20,3,Touchline Section,0,Bronze
4,2,1,20,121,1,Corner Section,0,Silver
4,2,2,20,132,3,Touchline Section,0,Silver
4,2,3,20,75,2.5,Touchline Section,2,Bronze
4,3,1,21,191,1,Goal Section,2,Silver
4,3,2,21,171,1.5,Upper Deck,2,Silver
4,3,3,21,218,0.5,Goal Section,3,Silver
4,4,1,22,258,3,Upper Deck,1,Gold
4,4,2,22,156,1,Touchline Section,1,Silver
4,4,3,22,134,0.5,Goal Section,0,Silver
4,5,1,23,111,3,Goal Section,3,Bronze
4,5,2,23,237,3,Corner Section,0,Gold
4,5,3,23,218,0.5,Goal Section,3,Silver
4,6,1,24,164,1.5,Goal Section,1,Silver
4,6,2,24,319,2,Corner Section,3,Gold
4,6,3,24,269,1.5,Touchline Section,1,Gold
5,1,1,25,103,2.5,Touchline Section,3,Bronze
5,1,2,25,295,0.5,Touchline Section,2,Gold
5,1,3,25,307,3,Goal Section,2,Gold
5,2,1,26,294,3.5,Corner Section,2,Gold
5,2,2,26,70,3.5,Corner Section,2,Bronze
5,2,3,26,186,2,Touchline Section,2,Silver
5,3,1,27,286,3,Upper Deck,2,Gold
5,3,2,27,320,2.5,Corner Section,3,Gold
5,3,3,27,101,1.5,Touchline Section,3,Bronze
5,4,1,28,9,1,Corner Section,0,Bronze
5,4,2,28,124,2.5,Corner Section,0,Silver
5,4,3,28,36,0.5,Corner Section,1,Bronze
5,5,1,29,134,0.5,Goal Section,0,Silver
5,5,2,29,10,1.5,Corner Section,0,Bronze
5,5,3,29,238,3.5,Corner Section,0,Gold
5,6,1,30,41,3,Corner Section,1,Bronze
5,6,2,30,187,2.5,Touchline Section,2,Silver
5,6,3,30,302,0.5,Goal Section,2,Gold
6,1,1,31,96,2.5,Corner Section,3,Bronze
6,1,2,31,125,3,Corner Section,0,Silver
6,1,3,31,18,2,Touchline Section,0,Bronze
6,2,1,32,196,3.5,Goal Section,2,Silver
6,2,2,32,137,2,Goal Section,0,Silver
6,2,3,32,208,2.5,Corner Section,3,Silver
6,3,1,33,145,2.5,Upper Deck,1,Silver
6,3,2,33,40,2.5,Corner Section,1,Bronze
6,3,3,33,12,2.5,Corner Section,0,Bronze
6,4,1,34,23,1,Goal Section,0,Bronze
6,4,2,34,10,1.5,Corner Section,0,Bronze
6,4,3,34,32,2,Upper Deck,1,Bronze
6,5,1,35,57,0.5,Upper Deck,2,Bronze
6,5,2,35,185,1.5,Touchline Section,2,Silver
6,5,3,35,315,3.5,Upper Deck,3,Gold
6,6,1,36,77,3.5,Touchline Section,2,Bronze
6,6,2,36,290,1.5,Corner Section,2,Gold
6,6,3,36,292,2.5,Corner Section,2,Gold
7,1,1,37,315,3.5,Upper Deck,3,Gold
7,1,2,37,8,0.5,Corner Section,0,Bronze
7,1,3,37,189,3.5,Touchline Section,2,Silver
7,2,1,38,80,1.5,Goal Section,2,Bronze
7,2,2,38,120,0.5,Corner Section,0,Silver
7,2,3,38,97,3,Corner Section,3,Bronze
7,3,1,39,51,1,Goal Section,1,Bronze
7,3,2,39,170,1,Upper Deck,2,Silver
7,3,3,39,126,3.5,Corner Section,0,Silver
7,4,1,40,78,0.5,Goal Section,2,Bronze
7,4,2,40,80,1.5,Goal Section,2,Bronze
7,4,3,40,262,1.5,Corner Section,1,Gold
7,5,1,41,260,0.5,Corner Section,1,Gold
7,5,2,41,238,3.5,Corner Section,0,Gold
7,5,3,41,166,2.5,Goal Section,1,Silver
7,6,1,42,34,3,Upper Deck,1,Bronze
7,6,2,42,96,2.5,Corner Section,3,Bronze
7,6,3,42,267,0.5,Touchline Section,1,Gold
8,1,1,43,195,3,Goal Section,2,Silver
8,1,2,43,324,1,Touchline Section,3,Gold
8,1,3,43,333,2,Goal Section,3,Gold
8,2,1,44,63,3.5,Upper Deck,2,Bronze
8,2,2,44,327,2.5,Touchline Section,3,Gold
8,2,3,44,106,0.5,Goal Section,3,Bronze
8,3,1,45,70,3.5,Corner Section,2,Bronze
8,3,2,45,194,2.5,Goal Section,2,Silver
8,3,3,45,94,1.5,Corner Section,3,Bronze
8,4,1,46,57,0.5,Upper Deck,2,Bronze
8,4,2,46,18,2,Touchline Section,0,Bronze
8,4,3,46,205,1,Corner Section,3,Silver
8,5,1,47,120,0.5,Corner Section,0,Silver
8,5,2,47,75,2.5,Touchline Section,2,Bronze
8,5,3,47,83,3,Goal Section,2,Bronze
8,6,1,48,310,1,Upper Deck,3,Gold
8,6,2,48,329,3.5,Touchline Section,3,Gold
8,6,3,48,275,1,Goal Section,1,Gold
9,1,1,49,298,2,Touchline Section,2,Gold
9,1,2,49,107,1,Goal Section,3,Bronze
9,1,3,49,247,1,Goal Section,0,Gold
9,2,1,50,237,3,Corner Section,0,Gold
9,2,2,50,324,1,Touchline Section,3,Gold
9,2,3,50,117,2.5,Upper Deck,0,Silver
9,3,1,51,38,1.5,Corner Section,1,Bronze
9,3,2,51,325,1.5,Touchline Section,3,Gold
9,3,3,51,147,3.5,Upper Deck,1,Silver
9,4,1,52,114,1,Upper Deck,0,Silver
9,4,2,52,324,1,Touchline Section,3,Gold
9,4,3,52,151,2,Corner Section,1,Silver
9,5,1,53,212,1,Touchline Section,3,Silver
9,5,2,53,98,3.5,Corner Section,3,Bronze
9,5,3,53,304,1.5,Goal Section,2,Gold
9,6,1,54,47,2.5,Touchline Section,1,Bronze
9,6,2,54,68,2.5,Corner Section,2,Bronze
9,6,3,54,75,2.5,Touchline Section,2,Bronze
