respID,qID,altID,obsID,profileID,price,hotel_quality,flight_quality,seat_quality,number_of_games,stage_of_tournament
1,1,1,1,979,7,4,Economy,Goal Section,1,Early Knockout
1,1,2,1,872,5,4,First,Upper Deck,1,Early Knockout
1,1,3,1,1405,6,5,Economy,Corner Section,0,Final Knockout
1,2,1,2,1094,3,3,Economy,Touchline Section,2,Early Knockout
1,2,2,2,1788,4,3,First,Touchline Section,2,Final Knockout
1,2,3,2,1274,8,4,Economy,Touchline Section,3,Early Knockout
1,3,1,3,1509,5,5,First,Goal Section,0,Final Knockout
1,3,2,3,93,3,4,Economy,Touchline Section,0,Group Stage
1,3,3,3,1173,5,5,First,Goal Section,2,Early Knockout
1,4,1,4,853,7,4,Economy,Upper Deck,1,Early Knockout
1,4,2,4,887,6,3,Economy,Corner Section,1,Early Knockout
1,4,3,4,1582,8,3,First,Corner Section,1,Final Knockout
1,5,1,5,1401,2,5,Economy,Corner Section,0,Final Knockout
1,5,2,5,1636,6,5,First,Touchline Section,1,Final Knockout
1,5,3,5,386,2,4,Economy,Corner Section,2,Group Stage
1,6,1,6,929,6,3,Economy,Touchline Section,1,Early Knockout
1,6,2,6,939,2,5,Economy,Touchline Section,1,Early Knockout
1,6,3,6,1418,5,4,First,Corner Section,0,Final Knockout
2,1,1,7,1578,4,3,First,Corner Section,1,Final Knockout
2,1,2,7,1725,4,3,Economy,Corner Section,2,Final Knockout
2,1,3,7,1511,7,5,First,Goal Section,0,Final Knockout
2,2,1,8,1117,5,3,First,Touchline Section,2,Early Knockout
2,2,2,8,433,7,4,Economy,Touchline Section,2,Group Stage
2,2,3,8,288,2,5,First,Touchline Section,1,Group Stage
2,3,1,9,289,3,5,First,Touchline Section,1,Group Stage
2,3,2,9,852,6,4,Economy,Upper Deck,1,Early Knockout
2,3,3,9,1316,8,4,Economy,Goal Section,3,Early Knockout
2,4,1,10,726,6,4,Economy,Corner Section,0,Early Knockout
2,4,2,10,573,7,3,First,Corner Section,3,Group Stage
2,4,3,10,1688,2,4,Economy,Upper Deck,2,Final Knockout
2,5,1,11,1171,3,5,First,Goal Section,2,Early Knockout
2,5,2,11,1399,7,4,Economy,Corner Section,0,Final Knockout
2,5,3,11,1990,3,5,Economy,Goal Section,3,Final Knockout
2,6,1,12,1749,7,3,First,Corner Section,2,Final Knockout
2,6,2,12,1788,4,3,First,Touchline Section,2,Final Knockout
2,6,3,12,1221,4,3,Economy,Corner Section,3,Early Knockout
3,1,1,13,1595,7,5,First,Corner Section,1,Final Knockout
3,1,2,13,1814,2,4,Economy,Goal Section,2,Final Knockout
3,1,3,13,121,3,5,First,Touchline Section,0,Group Stage
3,2,1,14,1701,8,5,Economy,Upper Deck,2,Final Knockout
3,2,2,14,1588,7,4,First,Corner Section,1,Final Knockout
3,2,3,14,1987,7,4,Economy,Goal Section,3,Final Knockout
3,3,1,15,1937,6,3,Economy,Touchline Section,3,Final Knockout
3,3,2,15,1187,5,4,Economy,Upper Deck,3,Early Knockout
3,3,3,15,329,8,4,First,Goal Section,1,Group Stage
3,4,1,16,634,5,3,Economy,Goal Section,3,Group Stage
3,4,2,16,659,2,4,First,Goal Section,3,Group Stage
3,4,3,16,1951,6,5,Economy,Touchline Section,3,Final Knockout
3,5,1,17,865,5,3,First,Upper Deck,1,Early Knockout
3,5,2,17,1823,4,5,Economy,Goal Section,2,Final Knockout
3,5,3,17,462,8,5,First,Touchline Section,2,Group Stage
3,6,1,18,1064,8,4,Economy,Corner Section,2,Early Knockout
3,6,2,18,1984,4,4,Economy,Goal Section,3,Final Knockout
3,6,3,18,1414,8,3,First,Corner Section,0,Final Knockout
4,1,1,19,892,4,4,Economy,Corner Section,1,Early Knockout
4,1,2,19,1357,7,4,Economy,Upper Deck,0,Final Knockout
4,1,3,19,380,3,3,Economy,Corner Section,2,Group Stage
4,2,1,20,1425,5,5,First,Corner Section,0,Final Knockout
4,2,2,20,1025,4,5,Economy,Upper Deck,2,Early Knockout
4,2,3,20,1193,4,5,Economy,Upper Deck,3,Early Knockout
4,3,1,21,1403,4,5,Economy,Corner Section,0,Final Knockout
4,3,2,21,1785,8,5,Economy,Touchline Section,2,Final Knockout
4,3,3,21,744,3,4,First,Corner Section,0,Early Knockout
4,4,1,22,1019,5,4,Economy,Upper Deck,2,Early Knockout
4,4,2,22,69,7,3,First,Corner Section,0,Group Stage
4,4,3,22,1051,2,3,Economy,Corner Section,2,Early Knockout
4,5,1,23,884,3,3,Economy,Corner Section,1,Early Knockout
4,5,2,23,687,2,5,Economy,Upper Deck,0,Early Knockout
4,5,3,23,88,5,3,Economy,Touchline Section,0,Group Stage
4,6,1,24,820,2,3,First,Goal Section,0,Early Knockout
4,6,2,24,1581,7,3,First,Corner Section,1,Final Knockout
4,6,3,24,815,4,5,Economy,Goal Section,0,Early Knockout
5,1,1,25,471,3,4,Economy,Goal Section,2,Group Stage
5,1,2,25,1375,4,4,First,Upper Deck,0,Final Knockout
5,1,3,25,975,3,4,Economy,Goal Section,1,Early Knockout
5,2,1,26,834,2,5,First,Goal Section,0,Early Knockout
5,2,2,26,418,6,5,First,Corner Section,2,Group Stage
5,2,3,26,1566,6,4,Economy,Corner Section,1,Final Knockout
5,3,1,27,1389,4,3,Economy,Corner Section,0,Final Knockout
5,3,2,27,1883,8,4,First,Upper Deck,3,Final Knockout
5,3,3,27,916,7,4,First,Corner Section,1,Early Knockout
5,4,1,28,1870,2,3,First,Upper Deck,3,Final Knockout
5,4,2,28,1768,5,3,Economy,Touchline Section,2,Final Knockout
5,4,3,28,892,4,4,Economy,Corner Section,1,Early Knockout
5,5,1,29,400,2,3,First,Corner Section,2,Group Stage
5,5,2,29,1967,8,4,First,Touchline Section,3,Final Knockout
5,5,3,29,1595,7,5,First,Corner Section,1,Final Knockout
5,6,1,30,409,4,4,First,Corner Section,2,Group Stage
5,6,2,30,632,3,3,Economy,Goal Section,3,Group Stage
5,6,3,30,1339,3,5,First,Goal Section,3,Early Knockout
6,1,1,31,368,5,4,First,Upper Deck,2,Group Stage
6,1,2,31,952,8,3,First,Touchline Section,1,Early Knockout
6,1,3,31,740,6,3,First,Corner Section,0,Early Knockout
6,2,1,32,1659,8,5,Economy,Goal Section,1,Final Knockout
6,2,2,32,878,4,5,First,Upper Deck,1,Early Knockout
6,2,3,32,450,3,4,First,Touchline Section,2,Group Stage
6,3,1,33,229,6,5,Economy,Corner Section,1,Group Stage
6,3,2,33,179,5,4,Economy,Upper Deck,1,Group Stage
6,3,3,33,314,7,5,Economy,Goal Section,1,Group Stage
6,4,1,34,480,5,5,Economy,Goal Section,2,Group Stage
6,4,2,34,2013,5,5,First,Goal Section,3,Final Knockout
6,4,3,34,156,3,4,First,Goal Section,0,Group Stage
6,5,1,35,1473,4,3,Economy,Goal Section,0,Final Knockout
6,5,2,35,2004,3,4,First,Goal Section,3,Final Knockout
6,5,3,35,1331,2,4,First,Goal Section,3,Early Knockout
6,6,1,36,613,5,3,First,Touchline Section,3,Group Stage
6,6,2,36,892,4,4,Economy,Corner Section,1,Early Knockout
6,6,3,36,143,4,5,Economy,Goal Section,0,Group Stage
7,1,1,37,1349,6,3,Economy,Upper Deck,0,Final Knockout
